,Branch Misses,Branches,Context Switch,CPU Migration,Cycles,Instructions,Page Faults,Executable,Sparsity Level,Stride
112,,,,0.0,,,,results_vector_mlir_sparsity_75_stride_2,75,2
113,,,0.0,,,,,results_vector_mlir_sparsity_75_stride_2,75,2
114,,,,,,,82.0,results_vector_mlir_sparsity_75_stride_2,75,2
115,14379.0,,,,,,,results_vector_mlir_sparsity_75_stride_2,75,2
116,,,,,,1514286.0,,results_vector_mlir_sparsity_75_stride_2,75,2
117,,118771.0,,,,,,results_vector_mlir_sparsity_75_stride_2,75,2
118,,,,,8539421.0,,,results_vector_mlir_sparsity_75_stride_2,75,2
119,,,,,,,82.0,results_vector_mlir_sparsity_75_stride_3,75,3
120,,118980.0,,,,,,results_vector_mlir_sparsity_75_stride_3,75,3
121,13926.0,,,,,,,results_vector_mlir_sparsity_75_stride_3,75,3
122,,,,,,1512985.0,,results_vector_mlir_sparsity_75_stride_3,75,3
123,,,0.0,,,,,results_vector_mlir_sparsity_75_stride_3,75,3
124,,,,0.0,,,,results_vector_mlir_sparsity_75_stride_3,75,3
125,,,,,8402465.0,,,results_vector_mlir_sparsity_75_stride_3,75,3
126,,,0.0,,,,,results_vector_mlir_sparsity_80_stride_1,80,1
127,,,,0.0,,,,results_vector_mlir_sparsity_80_stride_1,80,1
128,,,,,,,82.0,results_vector_mlir_sparsity_80_stride_1,80,1
129,,,,,7415066.0,,,results_vector_mlir_sparsity_80_stride_1,80,1
130,,,,,,1388166.0,,results_vector_mlir_sparsity_80_stride_1,80,1
131,,116668.0,,,,,,results_vector_mlir_sparsity_80_stride_1,80,1
132,14060.0,,,,,,,results_vector_mlir_sparsity_80_stride_1,80,1
133,,,,0.0,,,,results_vector_mlir_sparsity_80_stride_2,80,2
134,14205.0,,,,,,,results_vector_mlir_sparsity_80_stride_2,80,2
135,,116174.0,,,,,,results_vector_mlir_sparsity_80_stride_2,80,2
136,,,,,,1383660.0,,results_vector_mlir_sparsity_80_stride_2,80,2
