,Branch Misses,Branches,Context Switch,CPU Migration,Cycles,Instructions,Page Faults,Executable,Sparsity Level,Stride,Vector Size
118,13390.0,,,,,,,results_vector_mlir_sparsity_75_stride_2,75,2,4
119,,,0.0,,,,,results_vector_mlir_sparsity_75_stride_3,75,3,4
120,,,,0.0,,,,results_vector_mlir_sparsity_75_stride_3,75,3,4
121,,,,,,,82.0,results_vector_mlir_sparsity_75_stride_3,75,3,4
122,,,,,5180238.0,,,results_vector_mlir_sparsity_75_stride_3,75,3,4
123,,,,,,1299578.0,,results_vector_mlir_sparsity_75_stride_3,75,3,4
124,,147717.0,,,,,,results_vector_mlir_sparsity_75_stride_3,75,3,4
125,13421.0,,,,,,,results_vector_mlir_sparsity_75_stride_3,75,3,4
126,,,0.0,,,,,results_vector_mlir_sparsity_80_stride_1,80,1,4
127,,,,0.0,,,,results_vector_mlir_sparsity_80_stride_1,80,1,4
128,,,,,,,82.0,results_vector_mlir_sparsity_80_stride_1,80,1,4
129,,,,,4717823.0,,,results_vector_mlir_sparsity_80_stride_1,80,1,4
130,,,,,,1226087.0,,results_vector_mlir_sparsity_80_stride_1,80,1,4
131,,140868.0,,,,,,results_vector_mlir_sparsity_80_stride_1,80,1,4
132,13636.0,,,,,,,results_vector_mlir_sparsity_80_stride_1,80,1,4
133,,,0.0,,,,,results_vector_mlir_sparsity_80_stride_2,80,2,4
134,,,,0.0,,,,results_vector_mlir_sparsity_80_stride_2,80,2,4
135,,,,,,,82.0,results_vector_mlir_sparsity_80_stride_2,80,2,4
136,,,,,5070842.0,,,results_vector_mlir_sparsity_80_stride_2,80,2,4
137,,,,,,1216522.0,,results_vector_mlir_sparsity_80_stride_2,80,2,4
138,,139596.0,,,,,,results_vector_mlir_sparsity_80_stride_2,80,2,4
139,13354.0,,,,,,,results_vector_mlir_sparsity_80_stride_2,80,2,4
140,,,0.0,,,,,results_vector_mlir_sparsity_80_stride_3,80,3,4
141,,,,0.0,,,,results_vector_mlir_sparsity_80_stride_3,80,3,4
142,,,,,,,82.0,results_vector_mlir_sparsity_80_stride_3,80,3,4
143,,,,,4914921.0,,,results_vector_mlir_sparsity_80_stride_3,80,3,4
144,,,,,,1223907.0,,results_vector_mlir_sparsity_80_stride_3,80,3,4
145,,140341.0,,,,,,results_vector_mlir_sparsity_80_stride_3,80,3,4
146,13405.0,,,,,,,results_vector_mlir_sparsity_80_stride_3,80,3,4
147,,,0.0,,,,,results_vector_mlir_sparsity_85_stride_1,85,1,4
148,,,,0.0,,,,results_vector_mlir_sparsity_85_stride_1,85,1,4
149,,,,,,,82.0,results_vector_mlir_sparsity_85_stride_1,85,1,4
150,,,,,4449505.0,,,results_vector_mlir_sparsity_85_stride_1,85,1,4
151,,,,,,1135242.0,,results_vector_mlir_sparsity_85_stride_1,85,1,4
152,,131452.0,,,,,,results_vector_mlir_sparsity_85_stride_1,85,1,4
153,13346.0,,,,,,,results_vector_mlir_sparsity_85_stride_1,85,1,4
154,,,0.0,,,,,results_vector_mlir_sparsity_85_stride_2,85,2,4
155,,,,0.0,,,,results_vector_mlir_sparsity_85_stride_2,85,2,4
156,,,,,,,82.0,results_vector_mlir_sparsity_85_stride_2,85,2,4
157,,,,,4662310.0,,,results_vector_mlir_sparsity_85_stride_2,85,2,4
158,,,,,,1145416.0,,results_vector_mlir_sparsity_85_stride_2,85,2,4
159,,132526.0,,,,,,results_vector_mlir_sparsity_85_stride_2,85,2,4
160,13321.0,,,,,,,results_vector_mlir_sparsity_85_stride_2,85,2,4
161,,,0.0,,,,,results_vector_mlir_sparsity_85_stride_3,85,3,4
162,,,,0.0,,,,results_vector_mlir_sparsity_85_stride_3,85,3,4
163,,,,,,,82.0,results_vector_mlir_sparsity_85_stride_3,85,3,4
164,,,,,4611757.0,,,results_vector_mlir_sparsity_85_stride_3,85,3,4
165,,,,,,1139975.0,,results_vector_mlir_sparsity_85_stride_3,85,3,4
166,,132160.0,,,,,,results_vector_mlir_sparsity_85_stride_3,85,3,4
167,13345.0,,,,,,,results_vector_mlir_sparsity_85_stride_3,85,3,4
168,,,0.0,,,,,results_vector_mlir_sparsity_90_stride_1,90,1,4
169,,,,0.0,,,,results_vector_mlir_sparsity_90_stride_1,90,1,4
170,,,,,,,82.0,results_vector_mlir_sparsity_90_stride_1,90,1,4
171,,,,,4186965.0,,,results_vector_mlir_sparsity_90_stride_1,90,1,4
172,,,,,,1060942.0,,results_vector_mlir_sparsity_90_stride_1,90,1,4
173,,124219.0,,,,,,results_vector_mlir_sparsity_90_stride_1,90,1,4
174,13412.0,,,,,,,results_vector_mlir_sparsity_90_stride_1,90,1,4
175,,,0.0,,,,,results_vector_mlir_sparsity_90_stride_2,90,2,4
176,,,,0.0,,,,results_vector_mlir_sparsity_90_stride_2,90,2,4
