value,unit,event,percentage,time,enabled_time,rate,description,value_numeric,file_name,full_path,directory,test_type,vector_size,operation_type,test_id
13498.0,,branch-misses,0.69%,2081375,100.0,10.75,of all branches,13498.0,elementwise_90_2,./results_scalar/mlir_files_elementwise/elementwise_90_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.09,msec,task-clock,1.04%,2099000,100.0,0.532,CPUs utilized,2.09,elementwise_50_1,./results_scalar/mlir_files_elementwise/elementwise_50_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
3746851.0,,cycles,1.03%,2099000,100.0,1.79,GHz,3746851.0,elementwise_50_1,./results_scalar/mlir_files_elementwise/elementwise_50_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
1076037.0,,instructions,0.71%,2099000,100.0,0.29,insn per cycle,1076037.0,elementwise_50_1,./results_scalar/mlir_files_elementwise/elementwise_50_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
132853.0,,branches,0.55%,2099000,100.0,63.467,M/sec,132853.0,elementwise_50_1,./results_scalar/mlir_files_elementwise/elementwise_50_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
13598.0,,branch-misses,0.99%,2099000,100.0,10.24,of all branches,13598.0,elementwise_50_1,./results_scalar/mlir_files_elementwise/elementwise_50_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.04,msec,task-clock,1.23%,1991125,100.0,0.527,CPUs utilized,2.04,elementwise_90_1,./results_scalar/mlir_files_elementwise/elementwise_90_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
3647350.0,,cycles,1.23%,1991125,100.0,1.79,GHz,3647350.0,elementwise_90_1,./results_scalar/mlir_files_elementwise/elementwise_90_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
992045.0,,instructions,0.46%,1991125,100.0,0.27,insn per cycle,992045.0,elementwise_90_1,./results_scalar/mlir_files_elementwise/elementwise_90_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
126587.0,,branches,0.37%,1991125,100.0,62.125,M/sec,126587.0,elementwise_90_1,./results_scalar/mlir_files_elementwise/elementwise_90_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
13422.0,,branch-misses,0.89%,1991125,100.0,10.6,of all branches,13422.0,elementwise_90_1,./results_scalar/mlir_files_elementwise/elementwise_90_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.01,msec,task-clock,2.10%,1945750,100.0,0.524,CPUs utilized,2.01,elementwise_95_2,./results_scalar/mlir_files_elementwise/elementwise_95_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
