,Branch Misses,Branches,Context Switch,CPU Migration,Cycles,Instructions,Page Faults,Executable,Sparsity Level,Stride
130,,,,,,1231009.0,,mlir_sparsity_80_stride_1,80,1
131,,141274.0,,,,,,mlir_sparsity_80_stride_1,80,1
132,13308.0,,,,,,,mlir_sparsity_80_stride_1,80,1
133,,,,,4394415.0,,,mlir_sparsity_80_stride_3,80,3
134,13314.0,,,,,,,mlir_sparsity_80_stride_3,80,3
135,,,0.0,,,,,mlir_sparsity_80_stride_3,80,3
136,,,,0.0,,,,mlir_sparsity_80_stride_3,80,3
137,,,,,,,81.0,mlir_sparsity_80_stride_3,80,3
138,,125970.0,,,,,,mlir_sparsity_80_stride_3,80,3
139,,,,,,1079362.0,,mlir_sparsity_80_stride_3,80,3
140,,,0.0,,,,,mlir_sparsity_80_stride_5,80,5
141,,,,0.0,,,,mlir_sparsity_80_stride_5,80,5
142,,,,,3783669.0,,,mlir_sparsity_80_stride_5,80,5
143,,,,,,948638.0,,mlir_sparsity_80_stride_5,80,5
144,13180.0,,,,,,,mlir_sparsity_80_stride_5,80,5
145,,,,,,,81.0,mlir_sparsity_80_stride_5,80,5
146,,112809.0,,,,,,mlir_sparsity_80_stride_5,80,5
147,13816.0,,,,,,,mlir_sparsity_85_stride_1,85,1
148,,,,,,1142655.0,,mlir_sparsity_85_stride_1,85,1
149,,132323.0,,,,,,mlir_sparsity_85_stride_1,85,1
150,,,,,4495351.0,,,mlir_sparsity_85_stride_1,85,1
151,,,,0.0,,,,mlir_sparsity_85_stride_1,85,1
152,,,0.0,,,,,mlir_sparsity_85_stride_1,85,1
153,,,,,,,82.0,mlir_sparsity_85_stride_1,85,1
154,,,0.0,,,,,mlir_sparsity_85_stride_3,85,3
155,,,,0.0,,,,mlir_sparsity_85_stride_3,85,3
156,,,,,,,81.0,mlir_sparsity_85_stride_3,85,3
157,,,,,,1078832.0,,mlir_sparsity_85_stride_3,85,3
158,,125651.0,,,,,,mlir_sparsity_85_stride_3,85,3
159,13479.0,,,,,,,mlir_sparsity_85_stride_3,85,3
160,,,,,4359700.0,,,mlir_sparsity_85_stride_3,85,3
161,13439.0,,,,,,,mlir_sparsity_85_stride_5,85,5
162,,114194.0,,,,,,mlir_sparsity_85_stride_5,85,5
163,,,,,,961964.0,,mlir_sparsity_85_stride_5,85,5
164,,,,,3891124.0,,,mlir_sparsity_85_stride_5,85,5
165,,,,,,,82.0,mlir_sparsity_85_stride_5,85,5
166,,,,0.0,,,,mlir_sparsity_85_stride_5,85,5
167,,,0.0,,,,,mlir_sparsity_85_stride_5,85,5
168,,,,0.0,,,,mlir_sparsity_90_stride_1,90,1
169,,,0.0,,,,,mlir_sparsity_90_stride_1,90,1
170,,,,,,,82.0,mlir_sparsity_90_stride_1,90,1
171,,,,,4190619.0,,,mlir_sparsity_90_stride_1,90,1
172,,,,,,1053848.0,,mlir_sparsity_90_stride_1,90,1
173,,123279.0,,,,,,mlir_sparsity_90_stride_1,90,1
174,13592.0,,,,,,,mlir_sparsity_90_stride_1,90,1
175,13326.0,,,,,,,mlir_sparsity_90_stride_3,90,3
176,,123633.0,,,,,,mlir_sparsity_90_stride_3,90,3
177,,,,,,1056641.0,,mlir_sparsity_90_stride_3,90,3
178,,,,,4245908.0,,,mlir_sparsity_90_stride_3,90,3
179,,,,,,,82.0,mlir_sparsity_90_stride_3,90,3
180,,,,0.0,,,,mlir_sparsity_90_stride_3,90,3
181,,,0.0,,,,,mlir_sparsity_90_stride_3,90,3
182,,,,,,951936.0,,mlir_sparsity_90_stride_5,90,5
183,,,,,3803341.0,,,mlir_sparsity_90_stride_5,90,5
184,13396.0,,,,,,,mlir_sparsity_90_stride_5,90,5
185,,,,0.0,,,,mlir_sparsity_90_stride_5,90,5
186,,,0.0,,,,,mlir_sparsity_90_stride_5,90,5
187,,,,,,,82.0,mlir_sparsity_90_stride_5,90,5
188,,113181.0,,,,,,mlir_sparsity_90_stride_5,90,5
